Trial1,Trial2,Trial3,Trial4,Trial5,Trial6,Trial7,Trial8,Trial9,Trial10,Trial11,Trial12,Trial13,Trial14,Trial15,Trial16,Trial17,Trial18,Trial19,Trial20,Trial21,Trial22,Trial23,Trial24,Trial25,Trial26,Trial27,Trial28,Trial29,Trial30,Trial31,Trial32,Trial33,Trial34,Trial35,Trial36,Trial37,Trial38,Trial39,Trial40,Trial41,Trial42,Trial43,Trial44,Trial45,Trial46,Trial47,Trial48,Trial49,Trial50
0.115,0.363,0.701,0.04,0.585,0.051,0.472,0.023,0.113,0.752,0.043,0.379,0.045,0.009,0.089,0.077,0.174,0.058,0.119,0.002,0.104,0.428,0.041,0.042,0.009,0.038,0.008,0.148,0.061,0.004,0.315,0.428,0.336,0.092,0.269,0.033,0.238,0.054,0.589,0.188,0.098,0.033,0.271,0.008,0.25,0.644,0.032,0.004,0.02,0.068
0.199,0.427,1.147,0.503,0.59,0.639,0.674,0.052,0.242,1.223,0.39,0.396,0.18,0.025,0.136,0.122,0.287,0.123,0.191,0.33,0.197,0.578,1.988,0.119,0.065,0.047,0.248,1.09,0.25,0.231,0.358,1.294,0.555,0.137,0.658,0.208,0.488,0.312,0.687,0.781,0.116,0.289,0.385,0.054,0.319,1.012,1.369,0.013,0.046,0.312
0.421,0.436,1.852,0.579,1.59,0.654,0.71,0.264,2.772,1.282,0.567,0.499,0.218,0.311,0.338,0.141,0.41,0.17,0.21,0.392,0.26,0.646,2.296,0.54,0.109,0.145,0.465,1.223,0.299,0.37,0.402,1.322,0.624,0.154,0.714,0.236,0.577,0.421,0.762,0.784,0.178,0.837,0.46,1.087,0.361,1.279,1.957,0.181,0.155,0.417
0.429,0.465,2.88,0.591,1.658,0.68,0.744,0.279,2.785,1.533,0.807,0.581,0.278,0.624,0.416,0.147,0.419,0.207,0.273,0.439,0.526,0.773,2.332,0.568,0.111,0.148,0.73,1.433,0.466,0.376,0.411,1.332,0.629,0.231,0.8,0.293,0.58,0.724,0.778,0.865,0.244,1.198,0.707,1.128,0.381,2.094,2.087,0.182,0.221,0.426
0.442,0.6,3.088,0.869,1.676,0.714,0.749,0.34,2.875,1.578,0.839,0.818,1.031,0.76,0.434,0.321,0.533,0.424,0.38,1.122,0.647,0.846,2.337,0.606,0.145,0.183,0.776,1.714,0.47,0.465,0.431,1.427,0.663,0.329,0.871,0.429,0.665,0.749,0.862,0.896,0.611,1.427,0.721,1.158,0.415,2.203,2.447,0.207,0.659,0.431
0.563,0.751,3.919,2.129,2.087,1.168,0.931,0.358,2.903,1.659,1.217,0.846,1.056,0.914,0.435,0.338,0.634,0.432,0.482,1.123,0.677,0.907,2.385,0.735,1.029,0.185,0.918,2.48,0.52,0.496,1.398,1.5,0.699,0.485,0.885,0.602,0.756,0.792,0.928,1.015,1.526,1.464,0.985,1.182,0.825,2.24,3.018,0.543,0.756,0.445
0.804,0.787,4.299,2.15,2.107,1.236,0.969,1.562,3.008,1.669,1.243,0.904,1.187,0.97,0.54,0.381,0.744,0.533,0.5,1.908,0.719,0.921,2.404,1.017,1.607,1.513,1.002,2.509,0.543,0.576,1.401,1.552,0.753,0.549,0.912,0.629,0.767,0.793,2.434,1.179,2.021,1.552,1,1.298,0.826,3.269,3.168,0.655,0.8,0.705
0.88,0.875,4.713,2.162,2.111,1.273,1.014,1.685,3.057,1.671,1.413,1.037,2.054,1.132,0.665,0.455,0.773,0.54,0.514,2.545,0.954,0.933,2.486,1.035,1.624,1.561,1.177,2.68,0.569,0.625,1.444,1.757,0.776,0.604,1.333,0.714,0.774,0.864,2.529,1.215,2.024,1.62,1.019,1.805,0.909,3.28,3.221,0.73,0.814,1.3
0.953,0.898,4.823,2.508,2.158,1.387,1.08,1.695,3.175,1.692,1.46,1.24,2.073,1.275,0.691,0.472,0.776,0.605,0.747,3.129,1.025,1.023,2.641,1.114,1.67,4.175,1.25,3.492,0.743,0.712,1.447,1.794,0.789,0.688,1.357,0.721,1.097,0.878,2.593,1.261,2.114,1.878,1.42,1.807,0.95,3.328,3.304,0.868,0.928,1.707
0.995,0.94,4.981,2.525,2.303,1.612,1.429,1.696,3.323,1.866,1.63,1.297,2.091,1.53,0.692,0.59,0.786,1.229,0.833,3.219,1.431,1.033,2.706,1.177,2.051,4.197,2.316,3.569,0.85,0.92,1.69,1.877,0.793,0.968,1.428,0.806,1.561,0.931,2.824,1.281,2.122,2.128,1.643,2.071,0.975,3.57,4.174,1.11,1.159,1.91
