"Sales" "Year" "Distributer"
666 1991 "D1"
600 1991 "D2"
543 1991 "D3"
524 1991 "D4"
665 1991 "D5"
583 1991 "D6"
623 1991 "D7"
604 1991 "D8"
589 1991 "D9"
568 1991 "D10"
640 1991 "D11"
535 1991 "D12"
607 1991 "D13"
568 1991 "D14"
645 1991 "D15"
890 1992 "D1"
883 1992 "D2"
715 1992 "D3"
701 1992 "D4"
787 1992 "D5"
876 1992 "D6"
861 1992 "D7"
816 1992 "D8"
884 1992 "D9"
856 1992 "D10"
778 1992 "D11"
833 1992 "D12"
827 1992 "D13"
838 1992 "D14"
916 1992 "D15"
1033 1993 "D1"
1084 1993 "D2"
927 1993 "D3"
989 1993 "D4"
1005 1993 "D5"
1118 1993 "D6"
1025 1993 "D7"
1165 1993 "D8"
990 1993 "D9"
1075 1993 "D10"
979 1993 "D11"
1058 1993 "D12"
1025 1993 "D13"
997 1993 "D14"
1022 1993 "D15"
1165 1994 "D1"
1261 1994 "D2"
1192 1994 "D3"
1173 1994 "D4"
1108 1994 "D5"
1181 1994 "D6"
1280 1994 "D7"
1168 1994 "D8"
1145 1994 "D9"
1304 1994 "D10"
1163 1994 "D11"
1318 1994 "D12"
1299 1994 "D13"
1273 1994 "D14"
1305 1994 "D15"
1344 1995 "D1"
1388 1995 "D2"
1260 1995 "D3"
1293 1995 "D4"
1230 1995 "D5"
1388 1995 "D6"
1455 1995 "D7"
1337 1995 "D8"
1291 1995 "D9"
1249 1995 "D10"
1312 1995 "D11"
1395 1995 "D12"
1459 1995 "D13"
1360 1995 "D14"
1249 1995 "D15"
1290 1996 "D1"
1369 1996 "D2"
1374 1996 "D3"
1554 1996 "D4"
1304 1996 "D5"
1351 1996 "D6"
1351 1996 "D7"
1459 1996 "D8"
1391 1996 "D9"
1343 1996 "D10"
1272 1996 "D11"
1500 1996 "D12"
1411 1996 "D13"
1433 1996 "D14"
1290 1996 "D15"
1363 1997 "D1"
1712 1997 "D2"
1218 1997 "D3"
1325 1997 "D4"
1555 1997 "D5"
1430 1997 "D6"
1517 1997 "D7"
1431 1997 "D8"
1484 1997 "D9"
1402 1997 "D10"
1494 1997 "D11"
1535 1997 "D12"
1468 1997 "D13"
1365 1997 "D14"
1323 1997 "D15"
1424 1998 "D1"
1526 1998 "D2"
1666 1998 "D3"
1461 1998 "D4"
1523 1998 "D5"
1244 1998 "D6"
1525 1998 "D7"
1401 1998 "D8"
1377 1998 "D9"
1516 1998 "D10"
1395 1998 "D11"
1628 1998 "D12"
1235 1998 "D13"
1546 1998 "D14"
1360 1998 "D15"
1444 1999 "D1"
1354 1999 "D2"
1477 1999 "D3"
1595 1999 "D4"
1384 1999 "D5"
1389 1999 "D6"
1600 1999 "D7"
1455 1999 "D8"
1444 1999 "D9"
1394 1999 "D10"
1502 1999 "D11"
1598 1999 "D12"
1462 1999 "D13"
1283 1999 "D14"
1442 1999 "D15"
1504 2000 "D1"
1433 2000 "D2"
1391 2000 "D3"
1399 2000 "D4"
1536 2000 "D5"
1417 2000 "D6"
1539 2000 "D7"
1539 2000 "D8"
1293 2000 "D9"
1400 2000 "D10"
1608 2000 "D11"
1615 2000 "D12"
1480 2000 "D13"
1432 2000 "D14"
1419 2000 "D15"
1597 2001 "D1"
1187 2001 "D2"
1774 2001 "D3"
1582 2001 "D4"
1487 2001 "D5"
1509 2001 "D6"
1579 2001 "D7"
1357 2001 "D8"
1476 2001 "D9"
1335 2001 "D10"
1349 2001 "D11"
1300 2001 "D12"
1228 2001 "D13"
1388 2001 "D14"
1489 2001 "D15"
1374 2002 "D1"
1481 2002 "D2"
1558 2002 "D3"
1451 2002 "D4"
1445 2002 "D5"
1195 2002 "D6"
1258 2002 "D7"
1418 2002 "D8"
1657 2002 "D9"
1504 2002 "D10"
1562 2002 "D11"
1518 2002 "D12"
1541 2002 "D13"
1546 2002 "D14"
1487 2002 "D15"
1325 2003 "D1"
1384 2003 "D2"
1192 2003 "D3"
1405 2003 "D4"
1386 2003 "D5"
1366 2003 "D6"
1080 2003 "D7"
1598 2003 "D8"
1302 2003 "D9"
1609 2003 "D10"
1277 2003 "D11"
1345 2003 "D12"
1653 2003 "D13"
1448 2003 "D14"
1488 2003 "D15"
1194 2004 "D1"
1432 2004 "D2"
1054 2004 "D3"
1483 2004 "D4"
1413 2004 "D5"
1378 2004 "D6"
1307 2004 "D7"
1202 2004 "D8"
949 2004 "D9"
1403 2004 "D10"
1477 2004 "D11"
1268 2004 "D12"
1482 2004 "D13"
1317 2004 "D14"
1457 2004 "D15"
1552 2005 "D1"
1397 2005 "D2"
1256 2005 "D3"
1369 2005 "D4"
1483 2005 "D5"
1114 2005 "D6"
1316 2005 "D7"
1490 2005 "D8"
1114 2005 "D9"
1457 2005 "D10"
1161 2005 "D11"
1345 2005 "D12"
1511 2005 "D13"
1530 2005 "D14"
1364 2005 "D15"
1310 2006 "D1"
1484 2006 "D2"
1434 2006 "D3"
1535 2006 "D4"
1372 2006 "D5"
1280 2006 "D6"
1332 2006 "D7"
1331 2006 "D8"
1242 2006 "D9"
1278 2006 "D10"
1389 2006 "D11"
1300 2006 "D12"
1634 2006 "D13"
1232 2006 "D14"
1360 2006 "D15"
1206 2007 "D1"
1691 2007 "D2"
1400 2007 "D3"
1452 2007 "D4"
1470 2007 "D5"
1367 2007 "D6"
1460 2007 "D7"
1227 2007 "D8"
1599 2007 "D9"
1550 2007 "D10"
1441 2007 "D11"
1480 2007 "D12"
1676 2007 "D13"
1620 2007 "D14"
1413 2007 "D15"
1684 2008 "D1"
1545 2008 "D2"
1304 2008 "D3"
1297 2008 "D4"
1369 2008 "D5"
1701 2008 "D6"
